,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-09-25,5.557812976148548,3.2381854119149023,3.8101534494138805,3.312174122241565,3.1994692159481493,4.235737863636896,3.5526381377289944,3.785421022664644,3.2286342693706835,3.0217834837214954,4.416696749520926,3.9952639764263878
2018-09-26,5.5548162388381295,3.228203448608918,3.8140575472035603,3.302477841034349,3.187386354543883,4.235099491275854,3.5488923095714546,3.786534395493698,3.2174851641337803,3.0119024604679905,4.418924159964198,3.9975760861915663
2018-09-27,5.557606604855017,3.219493462459969,3.8226341484878117,3.302477841034349,3.1838047663437172,4.2365027993410305,3.5547726396183426,3.7852354409917863,3.2205945466044095,3.022168821207765,4.423997078360584,4.0009914022601265
2018-09-28,5.5577097369630994,3.213126602666024,3.8189675374039482,3.2997091885657484,3.173344721779155,4.235865577522643,3.55849611195188,3.786719909240388,3.2329365873562166,3.0367091938167743,4.427049783429586,4.000138718550574
2018-10-01,5.561177770688316,3.223089195663507,3.814877554897811,3.313477190845791,3.1773255143224897,4.244627735209498,3.563263862018495,3.7859780803859424,3.22524079456796,3.0332844627506175,4.431977155729427,3.997062574518523
2018-10-02,5.560594886906311,3.227352597422886,3.8140575472035603,3.3145183136208245,3.1773255143224897,4.246900845104325,3.5633959905960113,3.791713750329956,3.22214577183178,3.046725358660527,4.430826063065188,3.9834500254144323
2018-10-03,5.561143748156246,3.2201795248528517,3.8185591654380833,3.322551641272001,3.1866712672472066,4.251055329797588,3.5664296004816607,3.780955006819672,3.210610175673637,3.0346178240636754,4.4289397512807005,3.9800611977210862
2018-10-04,5.553296877384105,3.215540572436892,3.804164815478603,3.3184133820590525,3.193446112836428,4.24778360234952,3.5482219444409773,3.778527535707495,3.205895443414662,3.0399328316391387,4.419136272062009,3.9642699160241137
2018-10-05,5.547684251403435,3.2081081457641942,3.7945913465540486,3.31828387577103,3.1884583815473997,4.242602517271371,3.5355343998480366,3.777592509652254,3.2062101989973426,3.0551516225607678,4.417970478367199,3.956725425217619
2018-10-08,5.547684251403435,3.2075875281096837,3.7912396867536975,3.317506001738065,3.1952214056971773,4.245133536179728,3.524196373148955,3.7913448814793895,3.2190410639010265,3.063507388291766,4.417545898245617,3.9593059191246964
2018-10-09,5.54622415010076,3.1738714998839295,3.790610094909655,3.326415399283431,3.191311671243494,4.229595888842065,3.5277620043145523,3.789127426122644,3.2224556827173942,3.067567019834815,4.419242219357969,3.956369105253995
2018-10-10,5.514048565397763,3.1473102301740767,3.750338921656896,3.2945464541775893,3.1598385827107833,4.196848638552311,3.478089002317509,3.777031109007974,3.206525241750508,3.062026933147148,4.3953383842689515,3.922098797958356
2018-10-11,5.491775802101493,3.135626809332337,3.7417778620144384,3.2601184828502987,3.129617941108,4.170101412266314,3.4653476223772164,3.7520058983796543,3.1768058843999385,3.043523305508558,4.367954370262384,3.90432507147881
2018-10-12,5.505568763353356,3.138420943232698,3.7637998650860047,3.2628619732087905,3.1307536849473427,4.176754039451754,3.496900513665897,3.757557817937274,3.176156922542972,3.0423911128584846,4.383223447047268,3.922651970992841
2018-10-15,5.499935800851977,3.1350672933579333,3.75991053786684,3.25447085248893,3.1262029495344685,4.1786467728714065,3.4803874638971153,3.763648635254911,3.1823048451388996,3.047101115167124,4.376282112408328,3.9203446835542235
