,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-02-20,307.927734375,26.72997283935547,53.6207160949707,21.123802185058594,27.634078979492188,76.05585479736328,48.24503707885742,54.73704147338867,33.846683502197266,29.00213050842285,93.42681884765625,62.71951675415039
2020-02-21,304.7565612792969,26.60651397705078,52.802146911621094,20.873199462890625,27.36725616455078,75.67562866210938,47.16365432739258,54.8303337097168,34.02521896362305,28.94862937927246,93.4810562133789,61.76205062866211
2020-02-24,294.64923095703125,25.856908798217773,51.033287048339844,19.909345626831055,26.47783851623535,73.5209732055664,45.21431350708008,53.56664276123047,33.5707893371582,28.611099243164062,90.53462982177734,59.638519287109375
2020-02-25,285.720703125,24.74131965637207,49.66901779174805,19.03031349182129,25.579532623291016,70.52436065673828,43.76771926879883,52.59980773925781,32.72686004638672,28.01015281677246,87.78704833984375,58.0458869934082
2020-02-26,284.66973876953125,24.65754508972168,49.57492446899414,18.455856323242188,25.39275550842285,69.9902114868164,43.9669189453125,52.302955627441406,32.44283676147461,27.726139068603516,87.77799224853516,57.58610916137695
2020-02-27,271.884765625,23.502269744873047,47.617897033691406,17.468870162963867,24.30767059326172,67.39195251464844,41.59545135498047,50.17420959472656,30.608896255493164,26.47895622253418,84.7954330444336,55.2587776184082
2020-02-28,270.7424621582031,23.246522903442383,47.759033203125,17.453447341918945,23.64950180053711,66.16073608398438,41.913238525390625,49.18192672729492,29.854232788085938,25.593996047973633,83.7018051147461,54.90327835083008
2020-03-02,282.46734619140625,24.243059158325195,49.414981842041016,18.158985137939453,24.859106063842773,68.48738098144531,44.336883544921875,51.81105422973633,31.3392391204834,27.100486755371094,87.6243667602539,56.78980255126953
2020-03-03,274.3796691894531,24.031402587890625,47.78726577758789,17.60381507873535,23.925220489501953,66.81253814697266,42.65312576293945,51.10713195800781,31.314878463745117,26.7670841217041,85.44618225097656,55.41520309448242
2020-03-04,285.91265869140625,25.027935028076172,49.50906753540039,18.020191192626953,24.71680450439453,69.57378387451172,44.48390197753906,53.61753463745117,32.53208923339844,28.285932540893555,90.37194061279297,57.33015441894531
